title,year,type,hasBackup,insertDTTM,viewSource
Men in Black: International,2019,動作,0,2020-01-28 00:00,Netflix
MCU - Spider-Man: Far from Home,2019,動作,0,2020-01-28 00:00,Netflix
You Me Her（Season 1  2  3  4）,2019,電視,0,2020-01-28 00:00,Netflix
Sex Education（Season 1  2）,2019,電視,0,2020-01-28 00:00,Netflix
Story of a Sin,1975,情色,0,2020-01-28 00:00,Netflix
Frozen 2,2019,動畫,0,2019-11-23 12:50,Cinema
Maleficent: Mistress of Evil,2019,魔幻,0,2020-01-28 00:00,
Ad Astra,2019,科幻,0,2020-01-28 00:00,
Elisa and Marcela,2019,愛情,0,2019-08-11 23:00,Netflix
Another Life （Season 1）,2019,電視,0,2019-08-11 23:00,Netflix
監獄風雲 II 逃犯 （Prison on Fire 2）,1991,劇情,0,2019-08-11 23:00,Netflix
監獄風雲 （Prison on Fire）,1987,劇情,0,2019-08-11 23:00,Netflix
Rim of the World,2019,冒險,0,2019-08-11 23:00,Netflix
流浪地球 （The Wandering Earth）,2018,科幻,0,2019-08-11 23:00,Netflix
The Naked Director （Season 1  2）,2019,電視,0,2019-08-11 23:00,Netflix
多啦A夢：大雄之月球探測記,2019,動畫,0,2019-08-11 13:20,Cinema
Aquaman,2018,動作,1,2019-05-07 23:00,
First Man,2018,紀錄,1,2019-05-07 23:00,
Mortal Engines,2018,科幻,1,2019-05-07 23:00,
They Shall Not Grow Old,2018,紀錄,1,2019-05-07 23:00,
Wonder Park,2019,動畫,0,2019-05-01 08:20,Cinema
Cars 3,2017,動畫,0,2019-05-01 16:00,Netflix
MCU - Avengers 4: Endgame,2019,動作,0,2019-04-30 01:00,
MCU - Avengers 3: Infinity War,2018,動作,0,2019-04-29 01:00,
MCU - Captain Marvel,2019,動作,0,2019-04-28 01:00,
MCU - Ant-Man and The Wasp,2018,動作,0,2019-04-27 01:00,
MCU - Thor 3: Ragnarok,2017,動作,0,2019-04-27 01:00,
MCU - Black Panther,2018,動作,0,2019-04-27 01:00,
Rough Night,2017,喜劇,0,2019-04-26 01:00,Netflix
The Queen's Corgi,2019,動畫,0,2019-04-14 16:00,Cinema
The Silence,2019,災難,0,2019-04-26 01:00,Netflix
Z 風暴 （Z Storm）,2014,警匪,0,2019-04-26 01:00,Netflix
S 風暴 （S Storm）,2016,警匪,0,2019-04-26 01:00,Netflix
MCU - Spider-Man: Homecoming,2017,動作,0,2019-04-26 01:00,Netflix
MCU - Guardians of the Galaxy Vol.2,2017,動作,0,2019-04-26 01:00,Netflix
MCU - Avengers 2: Age of Ultron,2015,動作,0,2019-04-26 01:00,
Colony （Season 1）,2017,電視,0,2019-04-06 00:00,Netflix
點五步,2016,紀錄,0,2019-04-06 00:00,Netflix
十年,2015,劇情,0,2019-04-06 00:00,Netflix
Kingdom （Season 1 2）,2019,恐怖,0,2019-04-06 00:00,Netflix
Nightflyers （Season 1）,2018,電視,0,2019-04-06 00:00,Netflix
Hotel Transylvania 3: Summer Vacation,2018,動畫,0,2019-04-06 00:00,Netflix
Hotel Transylvania 2,2015,動畫,0,2019-04-06 00:00,Netflix
Hotel Transylvania,2012,動畫,0,2019-04-06 00:00,Netflix
The Umbrella Academy （Season 1）,2019,電視,0,2019-04-06 00:00,Netflix
Love  Death and Robots （Season 1）,2019,電視,0,2019-04-06 00:00,Netflix
The Dawn Wall,2017,紀錄,0,2019-04-06 00:00,Netflix
Collateral Beauty,2016,劇情,0,2019-04-06 00:00,Netflix
My Husband Won't Fit （Season 1）,2019,電視,0,2019-04-06 00:00,Netflix
Mirage,2018,科幻,0,2019-04-06 00:00,Netflix
Osmosis,2019,電視,0,2019-04-06 00:00,Netflix
六福喜事,2014,喜劇,0,2018-12-24 00:00,Netflix
盲探,2013,懸疑,0,2018-12-24 00:00,Netflix
飛砂風中轉,2010,喜劇,0,2018-12-24 00:00,Netflix
